Metric,Value
train_auc_roc,0.8633843279101583
test_auc_roc,0.8587777473532756
train_auc_pr,0.7439020650188646
test_auc_pr,0.734907177220147
train_precision_class1,1.0
train_precision_class0,0.9694498334915568
test_precision_class1,1.0
test_precision_class0,0.9709626100920034
train_recall_class1,1.0
train_recall_class0,0.030836346601045977
test_recall_class1,1.0
test_recall_class0,0.0282322742351607
train_accuracy,0.92181160952912
test_accuracy,0.919261166327386
train_f1,0.6828932994562482
test_f1,0.6720520718312314
train_mse,0.06955414334810359
test_mse,0.07104126015518045
